SC_ID,GasNode,ElecNode,ts,te,PcMin,PcMax,RcD,RcU,lambdaC,AlphaC,time,MIPGap,GasProfit,mSEDACost
sc46,ng101,ne101,5,8,10,10,-999,-999,2.903986951267002,-999,3.809122085571289,0.0,-345.3047790569344,1164.5069920768005
sc46,ng102,ne101,5,8,10,10,-999,-999,0.0,-999,3.809122085571289,0.0,-345.3047790569344,1164.5069920768005
sc47,ng101,ne101,5,8,10,10,-999,-999,0.7015761246220018,-999,0.18950271606445312,0.0,-345.30477905693124,1164.5069920768005
sc47,ng102,ne101,5,8,10,20,-999,-999,2.2,-999,0.18950271606445312,0.0,-345.30477905693124,1164.5069920768005
sc48,ng101,ne101,5,8,10,10,-999,-999,2.341936716830127,-999,0.1453857421875,0.0,-345.30477905693124,1164.5069920768005
sc48,ng102,ne101,5,8,10,25,-999,-999,0.7150000000000001,-999,0.1453857421875,0.0,-345.30477905693124,1164.5069920768005
sc49,ng101,ne101,5,8,10,20,-999,-999,1.7871810586514238,-999,0.06818008422851562,0.0,-92.86392473541127,1164.5069920768005
sc49,ng102,ne101,5,8,0,10,-999,-999,2.2,-999,0.06818008422851562,0.0,-92.86392473541127,1164.5069920768005
sc50,ng101,ne101,5,8,10,20,-999,-999,1.7871810586514245,-999,0.06918144226074219,0.0,-92.86392473541127,1164.5069920768005
sc50,ng102,ne101,5,8,0,20,-999,-999,2.2,-999,0.06918144226074219,0.0,-92.86392473541127,1164.5069920768005
sc51,ng101,ne101,5,8,10,20,-999,-999,1.8150320139464453,-999,0.062164306640625,0.0,-92.86392473541127,1164.5069920768005
sc51,ng102,ne101,5,8,0,25,-999,-999,1.815032013946445,-999,0.062164306640625,0.0,-92.86392473541127,1164.5069920768005
sc52,ng101,ne101,5,8,10,20,-999,-999,2.2,-999,0.14939498901367188,0.0,-345.30477905693124,1164.5069920768005
sc52,ng102,ne101,5,8,10,10,-999,-999,0.7015761246220009,-999,0.14939498901367188,0.0,-345.30477905693124,1164.5069920768005
sc53,ng101,ne101,5,8,10,20,-999,-999,0.7150000000000001,-999,0.23662757873535156,0.0,-345.3047790569308,1164.5069920768005
sc53,ng102,ne101,5,8,10,20,-999,-999,2.341936716830126,-999,0.23662757873535156,0.0,-345.3047790569308,1164.5069920768005
sc54,ng101,ne101,5,8,10,20,-999,-999,1.4875804686047696,-999,0.05414390563964844,0.0,-345.30477905693124,1164.5069920768005
sc54,ng102,ne101,5,8,10,25,-999,-999,1.4875804686047698,-999,0.05414390563964844,0.0,-345.30477905693124,1164.5069920768005
sc55,ng101,ne101,5,8,20,20,-999,-999,1.5284683584150633,-999,0.06415939331054688,0.0,-345.30477905693124,1164.5069920768005
sc55,ng102,ne101,5,8,0,10,-999,-999,0.7150000000000001,-999,0.06415939331054688,0.0,-345.30477905693124,1164.5069920768005
sc56,ng101,ne101,5,8,20,20,-999,-999,1.4498765238610007,-999,0.06316947937011719,0.0,-345.30477905693124,1164.5069920768005
sc56,ng102,ne101,5,8,0,20,-999,-999,2.2,-999,0.06316947937011719,0.0,-345.30477905693124,1164.5069920768005
sc57,ng101,ne101,5,8,20,20,-999,-999,1.5284683584150633,-999,0.049129486083984375,0.0,-345.30477905693124,1164.5069920768005
sc57,ng102,ne101,5,8,0,25,-999,-999,0.7150000000000001,-999,0.049129486083984375,0.0,-345.30477905693124,1164.5069920768005
sc58,ng101,ne101,5,8,20,20,-999,-999,1.7076016496001258,-999,0.06417083740234375,0.0,-843.1349442558912,1164.5069920768005
sc58,ng102,ne101,5,8,10,10,-999,-999,0.0,-999,0.06417083740234375,0.0,-843.1349442558912,1164.5069920768005
sc59,ng101,ne101,5,8,20,20,-999,-999,1.356601649600126,-999,0.060161590576171875,0.0,-843.1349442558912,1164.5069920768005
sc59,ng102,ne101,5,8,10,20,-999,-999,0.702,-999,0.060161590576171875,0.0,-843.1349442558912,1164.5069920768005
sc60,ng101,ne101,5,8,20,20,-999,-999,1.356601649600126,-999,0.055145263671875,0.0,-843.1349442558912,1164.5069920768005
sc60,ng102,ne101,5,8,10,25,-999,-999,0.702,-999,0.055145263671875,0.0,-843.1349442558912,1164.5069920768005
sc61,ng101,ne101,9,12,0,10,-999,-999,2.1999999999999997,-999,1.639352798461914,0.0,154.7690206920538,2035.5880150839998
sc61,ng102,ne101,9,12,0,10,-999,-999,2.4200000000000004,-999,1.639352798461914,0.0,154.7690206920538,2035.5880150839998
sc62,ng101,ne101,9,12,0,10,-999,-999,4.814229852938885,-999,25.74641227722168,0.0,154.76902069221592,2035.5880150841606
sc62,ng102,ne101,9,12,0,20,-999,-999,1.98,-999,25.74641227722168,0.0,154.76902069221592,2035.5880150841606
sc63,ng101,ne101,9,12,0,10,-999,-999,2.420000000000009,-999,1.7887535095214844,0.0,154.7690206920547,2035.5880150839998
sc63,ng102,ne101,9,12,0,25,-999,-999,2.246703811222212,-999,1.7887535095214844,0.0,154.7690206920547,2035.5880150839998
sc64,ng101,ne101,9,12,0,10,-999,-999,2.420000000000001,-999,0.4933128356933594,0.0,136.06795573997601,2035.5880150839998
sc64,ng102,ne101,9,12,10,10,-999,-999,2.04572859604475,-999,0.4933128356933594,0.0,136.06795573997601,2035.5880150839998
sc65,ng101,ne101,9,12,0,10,-999,-999,2.4200000000000004,-999,22.27719497680664,0.0,136.06795573997624,2035.5880150839998
sc65,ng102,ne101,9,12,10,20,-999,-999,2.148776063551401,-999,22.27719497680664,0.0,136.06795573997624,2035.5880150839998
sc66,ng101,ne101,9,12,0,10,-999,-999,5.644176768918581,-999,1.6574058532714844,0.0,136.06795573997601,2035.5880150839998
sc66,ng102,ne101,9,12,10,25,-999,-999,1.8400000000000003,-999,1.6574058532714844,0.0,136.06795573997601,2035.5880150839998
sc67,ng101,ne101,9,12,0,20,-999,-999,2.420000000000001,-999,1.2412986755371094,0.0,154.76902069205607,2035.5880150839998
sc67,ng102,ne101,9,12,0,10,-999,-999,2.420000000000001,-999,1.2412986755371094,0.0,154.76902069205607,2035.5880150839998
sc68,ng101,ne101,9,12,0,20,-999,-999,2.277854965087102,-999,0.1774730682373047,0.0,154.7690206920563,2035.5880150839998
sc68,ng102,ne101,9,12,0,20,-999,-999,2.277854965087102,-999,0.1774730682373047,0.0,154.7690206920563,2035.5880150839998
sc69,ng101,ne101,9,12,0,20,-999,-999,2.230672478755613,-999,0.06417083740234375,0.0,154.76902069205607,2035.5880150839998
sc69,ng102,ne101,9,12,0,25,-999,-999,2.230672478755613,-999,0.06417083740234375,0.0,154.76902069205607,2035.5880150839998
sc70,ng101,ne101,9,12,0,20,-999,-999,2.420000000000001,-999,0.48529052734375,0.0,136.0679557399758,2035.5880150839998
sc70,ng102,ne101,9,12,10,10,-999,-999,2.05220846447975,-999,0.48529052734375,0.0,136.0679557399758,2035.5880150839998
sc71,ng101,ne101,9,12,0,20,-999,-999,3.2728956799731836,-999,0.29277801513671875,0.0,136.06795573997647,2035.5880150839998
sc71,ng102,ne101,9,12,10,20,-999,-999,1.84,-999,0.29277801513671875,0.0,136.06795573997647,2035.5880150839998
sc72,ng101,ne101,9,12,0,20,-999,-999,2.2029656757164795,-999,0.05513954162597656,0.0,136.06795573997624,2035.5880150839998
